id,source,tender_ref,title_en,procurement_category,issuing_dept,publication_date,closing_date,status,estimated_value,tender_url,raw_html,first_seen,last_updated
98,ha,-,Notice of Pre-qualification of Tenderers –Tender for Term Contracts (2027/2030) for the Supply and Installation of Refuse Handling Systems for New Housing Authority Buildings (Packages A and B),,,17 Jul2026,10:00 am28 Aug2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_17_Jul_2026_01.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Notice of Pre-qualification of Tenderers –Tender for Term Contracts (2027/2030) for the Supply and Installation of Refuse Handling Systems for New Housing Authority Buildings (Packages A and B)</td><td>17 Jul<br/>2026</td><td>10:00 am<br/>28 Aug<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_17_Jul_2026_01.pdf')""><img alt=""Download: Notice of Pre-qualification of Tenderers –Tender for Term Contracts (2027/2030) for the Supply and Installation of Refuse Handling Systems for New Housing Authority Buildings (Packages A and B)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
99,ha,-,Tender for Cleansing Service Contracts for Estates,,,10 Jul2026,10:00 am21 Aug2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_10_Jul_2026_02.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Tender for Cleansing Service Contracts for Estates</td><td>10 Jul<br/>2026</td><td>10:00 am<br/>21 Aug<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_10_Jul_2026_02.pdf')""><img alt=""Download: Tender for Cleansing Service Contracts for Estates"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
100,ha,-,Schedule of Building (New Works) Design and Build Contracts (October 2026 to March 2027),,,26 Jun2026,31 Mar2027,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_26_Jun_2026_01.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Schedule of Building (New Works) Design and Build Contracts (October 2026 to March 2027)</td><td>26 Jun<br/>2026</td><td>31 Mar<br/>2027</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_26_Jun_2026_01.pdf')""><img alt=""Download: Schedule of Building (New Works) Design and Build Contracts (October 2026 to March 2027)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
101,ha,-,Six-month Tender Schedule of Property Management Agency Service Contracts for Commercial Properties (July to December 2026),,,26 Jun2026,31 Dec2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_26_Jun_2026_05.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Tender Schedule of Property Management Agency Service Contracts for Commercial Properties (July to December 2026)</td><td>26 Jun<br/>2026</td><td>31 Dec<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_26_Jun_2026_05.pdf')""><img alt=""Download: Six-month Tender Schedule of Property Management Agency Service Contracts for Commercial Properties (July to December 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
102,ha,-,Six-month Schedule of District Term Maintenance Contracts (July to December 2026),,,26 Jun2026,31 Dec2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_26_Jun_2026_02.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Schedule of District Term Maintenance Contracts (July to December 2026)</td><td>26 Jun<br/>2026</td><td>31 Dec<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_26_Jun_2026_02.pdf')""><img alt=""Download: Six-month Schedule of District Term Maintenance Contracts (July to December 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
103,ha,-,Six-month Schedule of Building Maintenance Contracts (July to December 2026),,,18 Jun2026,31 Dec2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_18_Jun_2026_01.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Schedule of Building Maintenance Contracts (July to December 2026)</td><td>18 Jun<br/>2026</td><td>31 Dec<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_18_Jun_2026_01.pdf')""><img alt=""Download: Six-month Schedule of Building Maintenance Contracts (July to December 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
104,ha,-,Six-month Tender Schedule of Security Service Contracts for Estates (July to December 2026),,,18 Jun2026,31 Dec2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_18_Jun_2026_06.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Tender Schedule of Security Service Contracts for Estates (July to December 2026)</td><td>18 Jun<br/>2026</td><td>31 Dec<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_18_Jun_2026_06.pdf')""><img alt=""Download: Six-month Tender Schedule of Security Service Contracts for Estates (July to December 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
105,ha,-,Six-month Tender Schedule of Cleansing Service Contracts for Estates (July to December 2026),,,18 Jun2026,31 Dec2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_18_Jun_2026_05.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Tender Schedule of Cleansing Service Contracts for Estates (July to December 2026)</td><td>18 Jun<br/>2026</td><td>31 Dec<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_18_Jun_2026_05.pdf')""><img alt=""Download: Six-month Tender Schedule of Cleansing Service Contracts for Estates (July to December 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
106,ha,-,Six-month Schedule of Building (New Works) Contracts (June to November 2026),,,15 May2026,30 Nov2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_15_May_2026_01.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Schedule of Building (New Works) Contracts (June to November 2026)</td><td>15 May<br/>2026</td><td>30 Nov<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_15_May_2026_01.pdf')""><img alt=""Download: Six-month Schedule of Building (New Works) Contracts (June to November 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
107,ha,-,Six-month Schedule of Contract(s) of Building Services Works for Estate Management Division (1 June 2026 to 30 November 2026),,,8 May2026,30 Nov2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_8_May_2026_02.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Schedule of Contract(s) of Building Services Works for Estate Management Division (1 June 2026 to 30 November 2026)</td><td>8 May<br/>2026</td><td>30 Nov<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_8_May_2026_02.pdf')""><img alt=""Download: Six-month Schedule of Contract(s) of Building Services Works for Estate Management Division (1 June 2026 to 30 November 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
108,ha,-,Six-month Schedule of Engineering Works Contracts (June to November 2026),,,8 May2026,30 Nov2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_8_May_2026_05.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Schedule of Engineering Works Contracts (June to November 2026)</td><td>8 May<br/>2026</td><td>30 Nov<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_8_May_2026_05.pdf')""><img alt=""Download: Six-month Schedule of Engineering Works Contracts (June to November 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
109,ha,-,Tender Schedule of Building (New Works) Design and Build Contracts (July to December 2026),,,27 Mar2026,31 Dec2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_27_Mar_2026_01.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Tender Schedule of Building (New Works) Design and Build Contracts (July to December 2026)</td><td>27 Mar<br/>2026</td><td>31 Dec<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_27_Mar_2026_01.pdf')""><img alt=""Download: Tender Schedule of Building (New Works) Design and Build Contracts (July to December 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
110,ha,-,Six-month Tender Schedule of District Term Maintenance Contracts (April to September 2026),,,27 Mar2026,30 Sep2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_27_Mar_2026_05.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Tender Schedule of District Term Maintenance Contracts (April to September 2026)</td><td>27 Mar<br/>2026</td><td>30 Sep<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_27_Mar_2026_05.pdf')""><img alt=""Download: Six-month Tender Schedule of District Term Maintenance Contracts (April to September 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
111,ha,-,Six-month Tender Schedule of Cleansing Service Contracts for Estates (April to September 2026),,,20 Mar2026,30 Sep2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_20_Mar_2026_01.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Tender Schedule of Cleansing Service Contracts for Estates (April to September 2026)</td><td>20 Mar<br/>2026</td><td>30 Sep<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_20_Mar_2026_01.pdf')""><img alt=""Download: Six-month Tender Schedule of Cleansing Service Contracts for Estates (April to September 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
112,ha,-,Six-month Tender Schedule of Security Service Contracts for Estates (April to September 2026),,,20 Mar2026,30 Sep2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_20_Mar_2026_02.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Tender Schedule of Security Service Contracts for Estates (April to September 2026)</td><td>20 Mar<br/>2026</td><td>30 Sep<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_20_Mar_2026_02.pdf')""><img alt=""Download: Six-month Tender Schedule of Security Service Contracts for Estates (April to September 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
113,ha,-,Six-month Schedule of Engineering Works Contracts (March to August 2026),,,13 Feb2026,31 Aug2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_13_Feb_2026_02.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Schedule of Engineering Works Contracts (March to August 2026)</td><td>13 Feb<br/>2026</td><td>31 Aug<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_13_Feb_2026_02.pdf')""><img alt=""Download: Six-month Schedule of Engineering Works Contracts (March to August 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
114,ha,-,Six-month Schedule of Contract(s) of Building Services Works for Estate Management Division (1 March to 31 August 2026),,,13 Feb2026,31 Aug2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_13_Feb_2026_01.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Schedule of Contract(s) of Building Services Works for Estate Management Division (1 March to 31 August 2026)</td><td>13 Feb<br/>2026</td><td>31 Aug<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_13_Feb_2026_01.pdf')""><img alt=""Download: Six-month Schedule of Contract(s) of Building Services Works for Estate Management Division (1 March to 31 August 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
115,ha,-,Six-month Schedule of Building (New Works) Contracts (March to August 2026),,,30 Jan2026,31 Aug2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_30_Jan_2026_02.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Schedule of Building (New Works) Contracts (March to August 2026)</td><td>30 Jan<br/>2026</td><td>31 Aug<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_30_Jan_2026_02.pdf')""><img alt=""Download: Six-month Schedule of Building (New Works) Contracts (March to August 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
116,ha,-,Tender Schedule of Building (New Works) Design and Build contracts (April to September 2026),,,16 Jan2026,30 Sep2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_16_Jan_2026_02.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Tender Schedule of Building (New Works) Design and Build contracts (April to September 2026)</td><td>16 Jan<br/>2026</td><td>30 Sep<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_16_Jan_2026_02.pdf')""><img alt=""Download: Tender Schedule of Building (New Works) Design and Build contracts (April to September 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
