id,name_en,name_zh,category,group_code,status,source_url,first_seen,last_updated
33,Build King (Zens) Engineering Limited,利基 (單氏) 工程有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
34,Build King Civil Engineering Limited,利基土木工程有限公司,Buildings,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
35,Build King Civil Engineering Limited,利基土木工程有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
36,Build King Civil Engineering Limited,利基土木工程有限公司,Site Formation,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
37,Build King Construction Limited,Build King Construction Limited,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
38,Build King Construction Limited,Build King Construction Limited,Port Works,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
39,Build King Construction Limited,Build King Construction Limited,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
40,Build King Construction Limited,Build King Construction Limited,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
41,Build King Construction Limited,Build King Construction Limited,Waterworks,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
42,Chan Shum Kee Sam Lee Construction Company Limited,陳森記森利建築有限公司,Buildings,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
43,Chatwin Engineering Limited,正宏工程有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
