REHAB_PROJ_KEY,BUILDING_NAME_ENG,BUILDING_NAME_CHI,BUILDING_ADDRESS_ENG,BUILDING_ADDRESS_CHI,DISTRICT,COMPLETION_YEAR,NUMBER_OF_UNITS,NUMBER_OF_STOREYS,REHABILITATION_COST,AVERAGE_CONTRIBUTION_PER_UNIT,OP_YEAR,SCHEME,SCOPE_OF_WORKS
607,,,494-496 Shanghai Street,上海街494-496號,Yau Tsim Mong,2011,31,11,1033169,33328.03,1970,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement/Repairing of Windows
542,Fuk Tsun Mansion,福全大廈,12-16 Fuk Tsun Street,福全街12-16號,Yau Tsim Mong,2011,29,14,1054413.36,36359.08,1977,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Replacement/Repairing of Windows
606,,,183-185 Portland Street,砵蘭街183-185號,Yau Tsim Mong,2010,16,8,557000,34812.5,1959,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes
582,,,423-425 Shanghai Street,上海街423-425號,Yau Tsim Mong,2011,12,6,744000,62000,1958,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Fire Services Installation Improvement
576,Wing Sing Building,永星大廈,36-40 Temple Street,廟街36-40號,Yau Tsim Mong,2012,27,11,2036354,75420.52,1978,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
863,,,61 Sai Yeung Choi Street South,西洋菜南街61號,Yau Tsim Mong,2011,9,9,267500,29722.22,1964,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Re-roofing for Main Roof
1161,Alhambra Building,平安大樓,383-389C Nathan Road & 15-17 Kansu Street,彌敦道383-389C號及甘肅街15-17號,Yau Tsim Mong,2012,282,15,9071890,32169.82,1960,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Removal of Unauthorized Building Works; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
1366,Oak House,橡樹樓,84-90 Oak Street Tai Kok Tsui,大角咀橡樹街84-90號,Yau Tsim Mong,2012,70,11,2152680,30752.57,1969,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Fire Services Installation Improvement; Replacement/Repairing of Windows
977,Winner Building,祥發大廈,867-885 Canton Road,廣東道867-885號,Yau Tsim Mong,2014,146,23,4963393,33995.84,1978,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Windows
610,,,357 Reclamation Street,新填地街357號,Yau Tsim Mong,2011,8,8,515250,64406.25,1959,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Fire Services Installation Improvement; Replacement/Repairing of Windows
581,,,340-342 Shanghai Street,上海街340-342號,Yau Tsim Mong,2011,27,9,739100,27374.07,1964,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement/Repairing of Windows
548,Tai Ying Building,大英樓,42-52 Wong Tai Street,旺堤街42-52號,Yau Tsim Mong,2011,214,14,7298000,34102.8,1976,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
1010,Kiu Kin Mansion,僑建大廈,566-568 Nathan Road,彌敦道566-568號,Yau Tsim Mong,2014,75,20,3213336,42844.48,1964,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
915,Kam Wah Building,金華大廈,831A-831L Canton Road & 24-26A Pitt Street,廣東道831A-831L號及碧街24-26號,Yau Tsim Mong,2015,292,22,7450000,25513.7,1972,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
