REHAB_PROJ_KEY,BUILDING_NAME_ENG,BUILDING_NAME_CHI,BUILDING_ADDRESS_ENG,BUILDING_ADDRESS_CHI,DISTRICT,COMPLETION_YEAR,NUMBER_OF_UNITS,NUMBER_OF_STOREYS,REHABILITATION_COST,AVERAGE_CONTRIBUTION_PER_UNIT,OP_YEAR,SCHEME,SCOPE_OF_WORKS
1464,Kam Hing Building,金慶樓,1004-1012 Canton Road,廣東道1004-1012號,Yau Tsim Mong,2012,40,8,1820540,45513.5,1967,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
1427,,,91-95A Fa Yuen Street,花園街91-95A號,Yau Tsim Mong,2012,43,9,1689549,39291.84,1964,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
1428,Tai Fung House,泰豐大廈,24 Tung Choi Street,通菜街24號,Yau Tsim Mong,2012,75,21,3502500,46700,1975,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Replacement/Repairing of Fire Rated Doors
879,Moderate Building,務德樓,18-20 Sycamore Street,詩歌舞街18-20號,Yau Tsim Mong,2011,10,5,942026,94202.6,1963,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Re-roofing for Main Roof
1330,,,9-23 Hak Po Street,黑布街9-23號,Yau Tsim Mong,2014,96,11,6272330,65336.77,1965,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration; Repair Underground Drainage
1580,Fu On Mansion,富安大廈,178-192 Tung Chau Street Tai Kok Tsui,大角咀通州街178-192號,Yau Tsim Mong,2014,88,11,5498000,62477.27,1958,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Repair Underground Drainage
598,Tat Ming Building,達明大廈,20-22 Tung Choi Street,通菜街20-22號,Yau Tsim Mong,2014,49,11,3000000,61224.49,1968,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
600,,,16 Tung Choi Street,通菜街16號,Yau Tsim Mong,2014,9,9,523281,58142.33,1967,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement/Repairing of Windows
602,,,106 Fa Yuen Street,花園街106號,Yau Tsim Mong,2012,6,6,472973.94,78828.99,1957,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Fire Services Installation Improvement; Replacement/Repairing of Windows
1817,Wing Sing Building,永星大樓,1G-1H Wing Sing Lane & 30-34 Temple Street,永星里1G-1H號及廟街30-34號,Yau Tsim Mong,2014,21,7,2298000,109428.57,1959,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Main Lobby Redecoration
1723,Shun Lee Building Block A,順利大廈A座,240 Ferry Street,渡船街240號,Yau Tsim Mong,2015,180,29,9488000,52711.11,1979,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
1831,Lee Fung Building,利豐大廈,88-96 Argyle Street & 104 Hak Po Street & 19 Yim Po Fong Street,亞皆老街88-96號、黑布街104號及染布房街19號,Yau Tsim Mong,2015,96,11,6811436,70952.46,1960,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration
1000,,,87-89 Tung Choi Street,通菜街87-89號,Yau Tsim Mong,2013,24,11,1361640,56735,1965,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Removal of Unauthorized Building Works; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
2117,,,22 LOK KWAN STREET,樂群街22號,Yau Tsim Mong,2014,6,6,387647.5,64607.92,1958,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Fresh Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Fire Services Installation Improvement
2601,,,119 TUNG CHOI STREET,通菜街119號,Yau Tsim Mong,2015,6,6,1124937,187489.5,1969,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Fire Services Installation Improvement; Replacement/Repairing of Windows
2115,,,20 LOK KWAN STREET,樂群街20號,Yau Tsim Mong,2014,6,6,387647.5,64607.92,1958,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement
3123,Yen Yau Mansion,仁友大廈,"2E - 2F BOUNDARY STREET, TAI KOK TSUI, KOWLOON",九龍大角咀界限街2E - 2F號,Yau Tsim Mong,2015,48,16,2081490,43364.38,1990,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
2146,,,459-461 Reclamation Street & 1D Fife Street,新填地街459-461號及快富街1D號,Yau Tsim Mong,2015,31,10,2182400,70400,1964,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
2098,On Ying Mansion,安英大廈,1136-1142 CANTON ROAD,廣東道1136-1142號,Yau Tsim Mong,2015,40,19,2760000,69000,1993,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration
3204,Man Lee Mansion,萬利樓,24-26 Boundary Street,界限街 24 - 26 號,Yau Tsim Mong,2016,36,13,2280000,63333.33,1966,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
3609,King Wong Building,璟璜大廈,104-106 Prince Edward Road West,太子道西 104-106 號,Yau Tsim Mong,2016,62,13,2324000,37483.87,1974,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Replacement/Repairing of Windows
566,,,432-434 Shanghai Street,上海街 432-434,Yau Tsim Mong,2010,18,9,1000000,55555.56,1969,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors
613,CHEONG MING BUILDING,昌明大廈,80-86 Argyle Street,亞皆老街 80-86,Yau Tsim Mong,2011,153,24,4835000,31601.31,1977,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Fire Services Installation Improvement; Main Lobby Redecoration
614,,,62-64 Sai Yeung Choi Street South,西洋菜南街 62-64,Yau Tsim Mong,2011,28,9,1036500,37017.86,1962,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Fire Services Installation Improvement
1142,Shanghai Mansion,上海大廈,380-390A Shanghai Street & 29-31 Pitt Street,上海街 380-390A號 & 碧街29-31號,Yau Tsim Mong,2011,107,11,5161415,48237.52,1965,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration
980,,,1013-1019 Canton Road,廣東道 1013-1019,Yau Tsim Mong,2011,40,9,2316410,57910.25,1967,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
880,,,49 Tung Choi Street,通菜街 49,Yau Tsim Mong,2010,6,6,926904,154484,1964,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Replacement/Repairing of Windows
899,Wing Fat Court,永發樓,840-844 Canton Road,廣東道 840-844,Yau Tsim Mong,2011,21,6,1290000,61428.57,1972,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
1829,,,1095-1097 Canton Road,廣東道 1095-1097,Yau Tsim Mong,2011,18,9,1405200,78066.67,1963,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Re-roofing for Main Roof; Removal of Unauthorized Building Works
1426,Kin Wong Mansion Stage II,建煌華廈第二期,111-121 Sai Yee Street,洗衣街 111-121,Yau Tsim Mong,2012,110,13,4740000,43090.91,1964,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
1353,,,Nos. 39-39B Mong Kok Road,旺角道 39-39B,Yau Tsim Mong,2011,18,5,1035094,57505.22,1959,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Re-roofing for Main Roof
1287,Hing Wong Mansion,興旺大廈,67-85 Tai Kok Tsui Road,大角咀道 67-85,Yau Tsim Mong,2012,292,16,6551593,22436.96,1964,OBB(Cat1),Concrete Repair; Internal Wall Re-painting; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Electrical Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
1477,Tak On Mansion,德安樓,1-11 Pine Street,杉樹街 1-11,Yau Tsim Mong,2012,50,14,2450200,49004,1971,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Removal of Unauthorized Building Works; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Lift Renovation
1382,Bedford Mansion,必發大廈,7-19 Bedford Road & 5-5A Fir Street,必發道 7-19號 & 松樹街5-5A號,Yau Tsim Mong,2011,116,10,3604000,31068.97,1964,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
1357,Chung Yew Building,中耀樓,73-99 Kok Cheung Street & 78-90 Wong Tai Street & 48-58 Chung Wui Street,角祥街 73-99 號 & 旺提街78-90號 & 中匯街48-58號,Yau Tsim Mong,2012,405,15,10900719,26915.36,1970,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
1425,,,91-93 Hak Po Street,黑布街 91-93 號,Yau Tsim Mong,2015,12,6,1284800,107066.67,1956,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Fire Services Installation Improvement; Replacement/Repairing of Windows
727,Lee Kwan Building,利群大樓,40-46 Argyle Street & 84-86 Tung Choi Street,亞皆老街 40-46 號 及 通菜街 84-86 號,Yau Tsim Mong,2015,97,15,5416686,55842.12,1961,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Repair Underground Drainage
3152,Cheuk Ming Mansion,卓明大廈,57-75 Tai Ho Road & 2-20 Hau Tei Square,57-75 大河道 & 2-20 鱟地坊,Tsuen Wan,2017,211,15,10301233,48821.01,1967,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration; Repair Underground Drainage
6028,FULL PONT HOUSE,富邦大廈,52-54 FUK TSUN STREET,福全街52-54號,Yau Tsim Mong,2017,29,13,2345666.4,80885.05,1978,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Removal of Unauthorized Building Works; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
5229,Kong Tak Building,廣德大廈,92 Connaught Road West,干諾道西92號,Central & Western,2017,10,9,2689620,268962,1970,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Replacement/Repairing of Windows; Repair Underground Drainage
5230,Kong Tak Building,廣德大廈,93 Connaught Road West,干諾道西93號,Central & Western,2017,10,9,2689620,268962,1970,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Replacement/Repairing of Windows; Repair Underground Drainage
4288,Lee Wai Building,利威大樓,654-658 Nathan Road,彌敦道654-658號,Yau Tsim Mong,2017,46,14,3275900.9,71215.24,1962,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Repair Underground Drainage
3596,Mainway Court,明威閣,15-33 Kwong Wa Street & 126-128 Soy Street,廣華街15-33號及豉油街126-128號,Yau Tsim Mong,2017,133,23,7767540,58402.56,1981,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Removal of Unauthorized Building Works; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Repair Underground Drainage
3356,Mei Luk Wah Building,美樂華大廈,675 Shanghai Street,上海街 675 號,Yau Tsim Mong,2017,10,10,966500,96650,1966,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Fire Services Installation Improvement
3357,Mei Luk Wah Building,美樂華大廈,675A Shanghai Street,上海街 675A 號,Yau Tsim Mong,2017,10,10,966500,96650,1966,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Fire Services Installation Improvement
3358,Mei Luk Wah Building,美樂華大廈,677 Shanghai Street,上海街 677 號,Yau Tsim Mong,2017,10,10,966500,96650,1966,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Fire Services Installation Improvement
4250,,,Nos. 10 and 12 Baker Street Kowloon,九龍紅磡必嘉街10及12號,Kowloon City,2017,18,9,1477810,82100.56,1970,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
3227,Ngai Hing Mansion,藝興大廈,"74-76 Hak Po Street, 2-24 Pak Po Street & 5 Yim Po Fong Street",黑布街74-76號 ，白布街2-24號及染布房街5號,Yau Tsim Mong,2018,294,18,17768324,60436.48,1964,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Removal of Unauthorized Building Works; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Repair Underground Drainage
5146,On Lok House,安樂樓,120-120B  HOI PA STREET & 31-33 CHUEN LUNG STREET,120-120B 海壩街 & 31-33 川龍街,Tsuen Wan,2017,19,6,1781072,93740.63,1970,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Repair Underground Drainage
6036,On Tai Mansion,安泰大廈,63-73 WINSLOW STREET & 7 GILLIES AVENUE,63-73 溫思勞街,Kowloon City,2017,62,15,3904082,62969.06,1986,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Repair Underground Drainage
3333,PAI TAI BUILDING,,28 & 28A PAK TAI STREET,28 & 28A 北帝街,Kowloon City,2017,32,11,834500,26078.13,1959,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Removal of Unauthorized Building Works; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
6199,Parkland House,栢齡大廈,57-59 Waterloo Road & 1 Yim Po Fong Street,窩打老道57-59號及染衣房街1號,Yau Tsim Mong,2018,40,20,3042000,76050,1976,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Repair Underground Drainage
3490,Po Wing Building,寶榮大廈,235-249 YEE KUK STREET,九龍深水埗醫局街235-249號,Sham Shui Po,2017,142,12,7063700,49744.37,1982,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
3634,Sue Yue Building,新裕大廈,5-9 Kowloon City Road,九龍城道 5-9 號,Kowloon City,2017,36,9,1940000,53888.89,1964,CAS,Concrete Repair; External Wall Re-painting/Re-tiling
3187,Tai Yun Mansion,大仁樓,16-18 HOI PA STREET,海壩街16-18 號,Tsuen Wan,2017,17,6,990000,58235.29,1970,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Fire Services Installation Improvement; Replacement/Repairing of Windows
2152,Tak Fu Building,德富大廈,211 Yee Kuk Street,醫局街211 號,Sham Shui Po,2017,28,15,3288518,117447.07,1987,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration; Repair Underground Drainage
3253,Tak Yan Mansion Stage 3,德仁樓第三期,11-15 Tso Kung Square,曹公坊11-15號,Tsuen Wan,2017,18,6,1380000,76666.67,1969,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Windows
4645,The First Building,第一樓,47-53 First Street,第一街47-53號,Central & Western,2017,26,6,2682826,103185.62,1964,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
3328,Wah Po House,華寶樓,5-7 Fuk Wa Street Sham Shui Po,深水埗福華街5-7 號,Sham Shui Po,2017,48,13,2806910,58477.29,1968,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration; Repair Underground Drainage
4332,Wai Kee House,偉基樓,64-70 Argyle Street & 89-91 Sai Yee Street,亞皆老街64-70號及洗衣街89-91號,Yau Tsim Mong,2017,103,17,5383800,52269.9,1965,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Windows; Repair Underground Drainage
3194,Wang On Building,宏安大廈,73-81 Argyle Street & 93 Tung Choi Street,亞皆老街73-81號及通菜街93號,Yau Tsim Mong,2017,85,18,4480830,52715.65,1966,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
3587,Wing Lee Building,永利大廈,18-24 Kwai Heung Street,桂香街18至24號,Central & Western,2017,83,20,2330000,28072.29,1977,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Re-roofing for Main Roof; Main Lobby Redecoration
5217,WINKI HOUSE,榮基樓,123-125 LAI CHI KOK ROAD & 209 TONG MI ROAD,荔枝角道123-125號塘尾道209號,Yau Tsim Mong,2017,59,16,3497152,59273.76,1965,CAS,Concrete Repair; Internal Wall Re-painting; Replacement of Drainage Pipes; Fire Services Installation Improvement
6155,Yan Oi House,仁愛樓,237 SHA TSUI ROAD,237 沙咀道,Tsuen Wan,2018,16,6,1955580,122223.75,1967,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
4192,,,1 Temple Street,廟街1號,Yau Tsim Mong,2017,10,6,1124000,112400,1963,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
3653,,,11 King Sing Street,景星街11 號,Wan Chai,2017,6,6,1242920,207153.33,1966,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
3360,,,12-16 UN CHAU STREET,元州街12-16號,Sham Shui Po,2017,32,9,3882250,121320.31,1964,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Removal of Unauthorized Building Works; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
6086,,,171-173 Queen's Road West,皇后大道西171及173號,Central & Western,2017,12,5,828490,69040.83,1977,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement/Repairing of Windows
3667,,,21-27 Shantung Street & 1 Thistle Street,山東街21-27號及地士道街1號,Yau Tsim Mong,2017,49,9,1096900,22385.71,1963,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement/Repairing of Fire Rated Doors
5198,,,30 NAM CHEONG STREET,南昌街30號,Sham Shui Po,2017,6,6,905000,150833.33,1959,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement
6023,,,33 Fa Yuen Street,花園街33號,Yau Tsim Mong,2017,9,9,1075300,119477.78,1960,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Repair Underground Drainage
6024,,,35 Fa Yuen Street,花園街35號,Yau Tsim Mong,2017,9,9,1074700,119411.11,1960,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Repair Underground Drainage
3455,,,456 CASTLE PEAK ROAD,456 青山道,Sham Shui Po,2017,8,8,731700,91462.5,1959,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Replacement/Repairing of Windows
3456,,,458 CASTLE PEAK ROAD,458 青山道,Sham Shui Po,2017,8,8,731700,91462.5,1959,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Replacement/Repairing of Windows
