period,period_type,category,Asphalter (road construction),Bamboo scaffolder,Bar bender and fixer,Bricklayer,Building services maintenance mechanic,Cable jointer (power),Carpenter (formwork),Concretor,Construction plant mechanic,Diver,Drainlayer,Electrical fitter (incl. electrician),Fire services mechanic,General welder,General workers and labourers,Glazier,Joiner,Leveller,Lift and escalator mechanic,Marble worker,Mason,Mechanical fitter,Metal worker,Painter and decorator,Plant & equipment operator (load shifting),Plasterer,Plumber,Refrigeration/ air-conditioning/ ventilation mechanic,Rigger/ metal formwork erector,Rock-breaking driller,Structural steel erector,Structural steel welder,Truck driver
202007,monthly,average_daily_wage_hkd,1074.8,1780.2,2261.8,1399,934.2,1380,1799.6,1943.2,1243.5,2512.1,1736.2,1277.4,1271.6,1386.6,1001.8,1409,1304.2,1315.1,969.1,1054.3,1168.8,1099.4,1347.3,1279.7,1223.9,1436.8,1465.7,1031.5,1616.5,1616.4,1601.7,1518.3,918.5
202008,monthly,average_daily_wage_hkd,1094.3,1803.5,2222.6,1349.1,929.2,1212.5,1809.1,1889.1,1213.8,2443.9,1663.3,1259.3,1269.3,1378.5,993.2,1456.2,1312.6,1308.2,1013,1166.3,1262,1075.6,1331.2,1267,1216.3,1410.6,1447.8,1047.4,1611,1630,1572.2,1564.1,914.1
202009,monthly,average_daily_wage_hkd,1126.9,1805.1,2217.7,1207.7,932.4,1145.4,1771.1,1887.2,1219.5,2431,1681.8,1248.6,1282.2,1381.7,998.1,1390.4,1331.4,1308.2,1003.3,1223.4,1130,1108.3,1336.6,1277.8,1217.4,1369.7,1459.8,1026.6,1581.6,1575.8,1592,1503.8,924.5
202010,monthly,average_daily_wage_hkd,1082.3,1780.9,2250.8,1158.1,923.9,1284.4,1768.1,1878,1203.4,2404.8,1709.1,1250.6,1276.1,1385.1,998.2,1370.3,1308.8,1331.3,1022.6,1232.1,1292.2,1094.4,1345.2,1267,1219,1359.6,1490.1,1040.9,1553,1583.8,1463,1480.6,929.8
202011,monthly,average_daily_wage_hkd,1088.8,1766.5,2234.7,1191.1,967,1211.6,1814,1807.2,1212.8,2364.1,1728.2,1251.9,1282.1,1403,1005.6,1344.2,1294.9,1319,1019.8,1314.4,1218.8,1100.9,1339.6,1292,1218,1354.1,1498.3,1040.5,1546.5,1641.6,1479,1497.6,933.4
202012,monthly,average_daily_wage_hkd,1074.3,1795.4,2217,1254.6,986.8,1158.8,1761.6,1837,1208.1,2329.7,1744.6,1239.6,1252.5,1389.9,993.7,1481.8,1313.6,1310.9,997.5,1188.8,1053.9,1061.4,1347.5,1281.7,1223.8,1372.5,1499.9,1040.2,1529.8,1543.2,1470.1,1511.2,931.8
202101,monthly,average_daily_wage_hkd,1043.1,1715.9,2220.2,1313.5,1007.4,1103.8,1773.6,1787.6,1207.1,2312.9,1692.5,1244.2,1249.4,1397.5,1002.3,1466.6,1316.3,1320.9,990.8,1216.5,1133.8,1081.8,1345.3,1293.8,1218,1381.2,1505.3,1090.3,1517.5,1574.7,1534.2,1498.3,932.7
202102,monthly,average_daily_wage_hkd,1070.7,1716.3,2217.1,1300,993.2,1151.7,1767,1742.2,1195.9,2175.5,1744.1,1233.9,1264.8,1397.2,995.4,1488.8,1294.3,1312.1,980,1224.9,1029,1066.3,1344.4,1296,1213.4,1390.6,1504.4,1065.6,1482.7,1655.4,1457.5,1547.7,931.3
202103,monthly,average_daily_wage_hkd,1055.6,1724.5,2222.9,1309.6,995.5,1197.3,1779.1,1758.5,1188.5,2292.8,1756.4,1221,1241,1404.4,1006.7,1459.4,1282.2,1320,986.9,1113.3,1071.9,1058,1352.1,1301.2,1212.6,1397.2,1494.7,1142.2,1490.9,1707.7,1486.6,1505.4,921.6
202104,monthly,average_daily_wage_hkd,1060.5,1760.6,2209.9,1335.9,996.5,1100,1789.8,1725.4,1160.6,2337.1,1792,1246.1,1229.3,1402.1,1010.5,1419.6,1296.3,1342.8,988.6,1272,942.9,1046.4,1335.3,1321.6,1202.3,1411.5,1494.4,1181,1477.6,1693,1469.5,1475.5,910.6
202105,monthly,average_daily_wage_hkd,1104.9,1754,2223.4,1368.5,998,1296.3,1787.1,1748.1,1173.8,2423.7,1775.4,1235.8,1228.3,1398.6,1014,1421.7,1298.9,1356.8,975.1,1241.2,1040,1047.7,1334.9,1307.3,1209.1,1413.8,1484.5,1151.9,1448.3,1678.5,1439.5,1502.2,910.9
202106,monthly,average_daily_wage_hkd,1118.2,1779.4,2237.5,1355.2,1010.7,1236.2,1804,1759,1183.3,2337.6,1775.2,1233.7,1233.7,1396.3,1018.6,1415.5,1315.7,1358.7,987.3,1215.4,1081.1,1037.6,1351.9,1316.2,1216.8,1416.2,1488.3,1183.3,1438.1,1660.9,1386.5,1494.7,910.1
202107,monthly,average_daily_wage_hkd,1101,1804.6,2215.8,1358.1,1010.5,1192.9,1800.3,1734.9,1165.2,2349.9,1788.5,1235.1,1231.4,1415.5,1016.9,1373.8,1310.6,1357.1,977.3,1237.1,1088.9,1051,1341.8,1314.4,1258.3,1390.3,1495.7,1186.8,1428.2,1770.7,1438.2,1469.6,916
202108,monthly,average_daily_wage_hkd,1123.3,1794.6,2193.3,1323.5,1019.1,1142.9,1796.9,1731.2,1172.8,2422.9,1761,1237.8,1239.8,1416.8,1008.4,1397.9,1331.5,1348.4,983.6,1270.9,1072.7,1089,1326.5,1312.4,1254.2,1409.4,1501.7,1176.1,1411.3,1744,1328.1,1519.5,923.4
202109,monthly,average_daily_wage_hkd,1132.6,1817.8,2175.6,1279.9,1046.7,1000,1815.9,1736.7,1189,2388.4,1754.7,1234.5,1249.8,1425.9,1019,1401.4,1336.8,1353.6,993.9,1256.3,1100,1047.2,1347.8,1356,1263.6,1423.6,1526.9,1170.7,1420.5,1765,1114.3,1521.1,933.8
202110,monthly,average_daily_wage_hkd,1129.2,1827.1,2204.3,1256.6,1046.8,1180,1826.4,1731.6,1186.6,2384.9,1762.8,1230.9,1247.2,1435.6,1023.8,1429.5,1346.8,1352,1008.6,1308.5,1023.5,1072.6,1356.4,1344.4,1258.1,1403.2,1530.3,1158.8,1415.6,1741.3,1118,1548.3,924.5
202111,monthly,average_daily_wage_hkd,1114.2,1878.6,2210,1288.1,1038.7,1225,1833.9,1754.7,1183.5,2458.8,1754,1228.1,1243.6,1440.4,1026.3,1455,1365.5,1353.1,978.1,1331.8,2025,1059.1,1347,1326.3,1270.3,1392.5,1528.4,1168.9,1432.1,1728.8,1293.9,1522.2,924.1
202112,monthly,average_daily_wage_hkd,1114.4,1871.9,2235,1270.3,1002,1601.1,1876.6,1772.2,1182.9,2540.4,1779.5,1237.9,1225.2,1439.3,1032.6,1406.9,1359.4,1379.4,963.9,1386.9,900,1039.5,1371.4,1327.2,1275,1402.1,1516.7,1162.3,1433.9,1749.1,1105,1528.2,935.2
202201,monthly,average_daily_wage_hkd,1140.8,1825.3,2246.2,1294.3,989,1679.2,1866.1,1791.6,1200,2468.6,1730.1,1231.7,1207.4,1434.2,1033.2,1453.1,1345.5,1372.3,992.8,1260.4,1240,1034.6,1384.1,1317.8,1272,1420,1512.1,1160.3,1411.9,1712.1,1186,1488.9,944
202202,monthly,average_daily_wage_hkd,1115.4,1836.6,2223.6,1424.6,1007.4,1490.8,1876.4,1702.6,1227.3,2481.2,1731.3,1231.3,1193.9,1433,1018.5,1466.4,1348.5,1386.9,1041.7,1314.5,1066.7,1030.2,1364.9,1307.4,1281.8,1431.6,1485.1,1158.6,1414.6,1739.3,1237.1,1472.1,944.2
202203,monthly,average_daily_wage_hkd,1089.3,1762.7,2220.1,1327.4,990.1,1132.6,1855.6,1740.3,1233,2386.6,1705.4,1233.3,1215.1,1423.6,1019.2,1586.8,1367.6,1357.6,1033.6,1289.6,1085,1040.3,1353.4,1303.2,1277.2,1421.8,1508.4,1170.7,1391.8,1769.4,966.1,1463,957.1
202204,monthly,average_daily_wage_hkd,1083.1,1815,2212,1318.8,1048.2,1209.1,1862.1,1746.6,1221.3,2732.9,1720.2,1239.8,1242.3,1447.3,1024.9,1496.9,1346.8,1326,1056.3,1387.6,1328.6,1055.8,1366.2,1286.3,1277.4,1395.7,1443.1,1163.2,1386.2,1746.9,1067.4,1473.3,955.1
202205,monthly,average_daily_wage_hkd,1087.6,1747.2,2225.4,1369.9,1137.6,1482.8,1880.3,1775.1,1224.8,2305.9,1747.1,1233.9,1238.6,1447.1,1026.1,1429.1,1364.9,1351.3,1014.6,1404,1454.8,1043.5,1393.6,1288.4,1277.1,1416.8,1446,1151.6,1386.7,1713.9,1362.7,1517.9,945.7
202206,monthly,average_daily_wage_hkd,1036.8,1720.8,2179.8,1325,1166.8,1387.6,1869.9,1765.2,1216.3,2326.4,1765.2,1228,1217.3,1450.8,1027.1,1530.7,1358.6,1346.6,1005.9,1355.9,1348.9,1058.1,1428.1,1278.3,1283.1,1447.2,1441.9,1125.3,1410.6,1709.6,918.8,1504.2,956.3
202207,monthly,average_daily_wage_hkd,1050.2,1707.6,2214.1,1332.1,1163,1445.7,1867.8,1754.8,1216.4,2329.9,1744.7,1253,1278.8,1464.8,1030.7,1478.2,1340.3,1356.1,992.5,1363.9,1202.3,1049.9,1396.2,1276.4,1290.6,1453.7,1445.6,1158.7,1403.6,1708.5,880,1567.6,962.4
202208,monthly,average_daily_wage_hkd,1027.9,1716,2227.5,1303.1,1168.1,1317.9,1873.1,1765.1,1189.6,2295.6,1679.2,1265.4,1278,1458.1,1024.7,1403.3,1312.7,1358.5,991.1,1377.4,1130.8,1049.6,1353.2,1249.3,1279.9,1458.1,1423.5,1151.3,1396.7,1731.8,1013,1519.7,961.5
202209,monthly,average_daily_wage_hkd,1004.1,1705.9,2233.5,1346.5,1160.5,1275.5,1884.4,1755,1198.7,2305.7,1667.8,1275.6,1270.3,1467.9,1029.7,1389.9,1316.9,1357.2,1007.2,1188.7,1155.6,1067.2,1346.6,1231.2,1287.4,1450.9,1412.9,1159.5,1428.6,1753.3,1013,1501.1,967.4
202210,monthly,average_daily_wage_hkd,1016.9,1727.5,2213.9,1391.9,1188.7,1151,1889.3,1752.3,1183.4,2333.8,1660.2,1279.4,1274.4,1456.4,1031.5,1381.1,1306.5,1348,1029.1,1203.6,1025,1087.7,1352.9,1218.2,1280.6,1405.1,1424.3,1155.3,1421.4,1822.7,1013,1477.6,975
202211,monthly,average_daily_wage_hkd,990,1717.2,2235.2,1427.2,1187.6,1171.9,1875.7,1742.2,1211.8,2380.5,1610.9,1293.3,1295.1,1467.8,1038.3,1392.2,1317.7,1348.9,1028.2,1288.7,1263.2,1063.8,1355.9,1205.2,1290.4,1397.3,1418.2,1172.7,1423.5,1832.4,1013,1504.4,968.9
202212,monthly,average_daily_wage_hkd,1111.7,1635.3,2236.3,1385.6,1188.2,1182.7,1894.2,1753.7,1214.7,2304.8,1621.7,1298.6,1294.3,1472.3,1035.9,1366.6,1325.4,1354.7,1020.4,1312.3,1000,1054,1365.3,1212.2,1297.8,1403.3,1413.7,1177.3,1409.9,1812.3,1013,1513.8,948.4
202301,monthly,average_daily_wage_hkd,1028,1675.7,2209,1356.8,1157.8,1207.7,1882.9,1700.9,1220.5,2326.7,1633.3,1297.9,1295.3,1474.3,1020.1,1423.8,1303.8,1334.5,1041.5,1358.4,1000,1056.2,1361.7,1226.4,1283.8,1419,1410.2,1171,1393.8,1855.6,1500,1554.7,938.5
202302,monthly,average_daily_wage_hkd,1061.4,1663.4,2193.7,1373.3,1108,1110,1894.3,1709.1,1254.3,2349.3,1643,1312.7,1299,1474.5,1047.3,1432.7,1312.2,1363.1,1015.5,1328.7,800,1072.5,1376,1230.4,1285,1427.6,1425.6,1193.3,1429.3,1894.1,1500,1582.8,952.8
202303,monthly,average_daily_wage_hkd,1111.1,1608.7,2200,1428.2,1117.4,1180.9,1888.5,1726.6,1251.2,2316.4,1655.7,1308.1,1300.9,1480.8,1043.8,1433.5,1293,1352.8,976.5,1348.9,1075,1088.6,1354.9,1240.2,1294.1,1417.2,1436.8,1199.5,1437.5,1783.7,1500,1576.4,941.4
202304,monthly,average_daily_wage_hkd,1201.5,1603.6,2203.7,1384,1118.4,1200.6,1865.7,1723.3,1255.6,2519.1,1650.3,1303.5,1331.3,1483.6,1045.8,1408.2,1292.9,1358.6,1014.1,1341.3,1577.8,1086,1360.2,1265,1298,1396.3,1437.2,1181.8,1395.2,1893.9,1465.5,1528.9,936.1
202305,monthly,average_daily_wage_hkd,1214.3,1553,2217.4,1393.8,1092.3,1151.6,1863.6,1748.1,1251.7,2608.4,1658.3,1308,1317,1482.5,1053.3,1414.7,1305.4,1366.4,981.3,1373.7,1569.2,1084.9,1376.6,1272.2,1298.3,1403,1445.8,1192.8,1411.3,1993.9,1500,1557.2,938.1
202306,monthly,average_daily_wage_hkd,1210.5,1571.3,2221.2,1341.4,1105,1150,1860.3,1765.6,1251.5,2404.3,1651.9,1299.5,1319.6,1497.8,1055,1407.2,1317.2,1346.1,998.9,1325.6,1000,1090.9,1356.6,1274.5,1298.4,1376,1444.5,1197.5,1414.8,1927,1500,1592.4,940.3
202307,monthly,average_daily_wage_hkd,1205.6,1568.8,2234.2,1337.2,1090.5,1152.1,1864.2,1742.4,1247.1,2476.7,1634.3,1304.9,1309.1,1490.1,1056.8,1396.1,1316.4,1341.1,984.8,1361.6,1000,1078.9,1353.4,1279.3,1302.6,1363,1445.1,1202.1,1412.9,1934.8,1463.3,1579.5,939.8
202308,monthly,average_daily_wage_hkd,1206.5,1596.1,2228,1299.5,1093.4,1191.7,1846.9,1759.8,1251.5,2475.9,1636.2,1313.5,1302.7,1496.9,1068.2,1396,1318.4,1342,993.1,1404.1,1840,1087.4,1358.9,1272.7,1297.9,1379.9,1442.9,1233.3,1459.5,1924.2,1440,1573.3,936.9
202309,monthly,average_daily_wage_hkd,1191.8,1637.2,2252.7,1350.1,1092.7,1177.6,1861.3,1752.2,1244.5,2548.8,1654.3,1315.3,1299.4,1487.3,1079.3,1422.5,1348.7,1340.1,1001.1,1314.7,1400,1084.9,1372.1,1282.9,1309.1,1400.4,1461.3,1233.9,1458.4,1859.2,1380,1583.6,937.8
202310,monthly,average_daily_wage_hkd,1181.9,1654.4,2246,1325.2,1092.9,1395.9,1849.5,1778.8,1252.8,2464.4,1667,1312,1299.6,1496.8,1086,1433.4,1350.5,1326.9,985.6,1275.4,1644.3,1083.9,1368.8,1283.3,1316.4,1400.3,1440.3,1217,1494.8,1892.7,1380,1588.2,939.8
202311,monthly,average_daily_wage_hkd,1188.7,1638.1,2234.8,1348,1092,1376.2,1857.1,1823.2,1261.7,2622.7,1676.9,1322.1,1309.3,1516.1,1092.5,1378.1,1339,1329.3,992,1408.8,1559.3,1083.6,1391.5,1306.6,1321.4,1404.3,1462.3,1229,1530.1,1933.8,1380,1572,952.7
202312,monthly,average_daily_wage_hkd,1199.1,1629.3,2232.3,1317.6,1092.6,1425.5,1862.9,1834.9,1256.1,3668.5,1687.5,1315.9,1313.2,1529.7,1098.1,1422.9,1317.8,1347.1,1020.6,1229.1,1000,1086.1,1402.4,1319.7,1331.2,1418.5,1471.1,1228.6,1509.8,1994.4,1400,1605.1,948.7
202401,monthly,average_daily_wage_hkd,1194.1,1621.2,2250,1245.9,1096.1,1358.1,1846.5,1841.1,1264.4,3587.2,1702.1,1314.1,1321.9,1529.7,1106.6,1368.2,1317.7,1347.2,1026.9,1259.2,1644.7,1093,1389,1318.7,1350.6,1410.4,1462.4,1235.6,1507.8,1919.3,1395.7,1578.7,952.9
202402,monthly,average_daily_wage_hkd,1194.6,1587,2254.9,1256.1,1099.3,1457.1,1831.1,1820.1,1273.9,3339.6,1714.4,1311.4,1293.8,1536.2,1102.4,1352.4,1306.9,1358.3,1042.2,1244.2,1470.9,1063.4,1389.7,1319.9,1353.4,1439.9,1464,1202.6,1475.7,1898.5,1400,1577.5,948.5
202403,monthly,average_daily_wage_hkd,1219.3,1613.8,2242.6,1296.3,1095.5,1367.3,1845.9,1862.2,1287.4,3825.2,1712.6,1319.2,1305,1558.4,1119.9,1272.1,1330.4,1340.3,1019.5,1248,1433.3,1107.1,1411.1,1332.6,1361.8,1440.1,1463.8,1233.5,1462.8,1864.9,1400,1568.3,956.7
202404,monthly,average_daily_wage_hkd,1198.5,1634.3,2261.2,1277,1137.3,1508.5,1843.1,1895.9,1302.7,2546.6,1720.5,1319,1283.3,1572.2,1124.6,1305.6,1341.2,1338.9,1013.4,1352.1,1000,1131.9,1412.4,1336.6,1360.5,1450.9,1459.4,1230.6,1463.5,1749.1,1400,1610.4,949.9
202405,monthly,average_daily_wage_hkd,1209.9,1615.6,2280.2,1277.1,1091.7,1388,1857.5,1910.6,1311.5,2515.5,1711.1,1317.5,1320.2,1577.1,1130.7,1418.8,1342,1340,1001.3,1420.1,1000,1145,1412,1339.8,1360.4,1436.7,1469,1239.7,1489.4,1698.8,1380,1631.8,946.1
202406,monthly,average_daily_wage_hkd,1225.5,1624.8,2334.3,1238.6,1099.8,1538.2,1885.3,1899,1321.1,2518.8,1686.5,1329.8,1321.9,1571.5,1137.3,1375.6,1336.9,1359.1,1042.8,1406.5,1000,1142.9,1401.3,1360.6,1366.1,1422,1468.9,1233.4,1504.5,1941.3,1481.6,1633.7,945.3
202407,monthly,average_daily_wage_hkd,1256.4,1687.6,2343.3,1264.7,1093,1377.6,1885.8,1893.3,1320.7,2516.6,1702.9,1338.4,1319.6,1559.8,1148.4,1394.3,1348.6,1358.5,1021.7,1477.8,1000,1164.1,1404.3,1368.6,1371.2,1371.2,1481.4,1223.3,1506.6,1870.4,1484.5,1624.6,974.5
202408,monthly,average_daily_wage_hkd,1268.2,1630.8,2347,1297.9,1102.8,1410.6,1898.5,1911.3,1320.1,2664,1698.3,1345.2,1304.3,1572.8,1155.9,1483.6,1352,1372.5,1025.3,1448.3,1000,1191,1415.2,1379.4,1367.7,1396.9,1481.4,1216.2,1502.7,1869.6,1542.1,1616.1,991.6
202409,monthly,average_daily_wage_hkd,1269.9,1668.2,2354,1265.4,1106.5,1426.2,1930.3,1892.3,1326,2660.2,1722.3,1339.6,1323.8,1572.7,1161.8,1499.3,1352.9,1404.4,995.5,1348.1,1026.8,1166.5,1423.4,1391.7,1372.8,1413.1,1492.3,1219.2,1522.7,1881.8,1588.7,1622.8,977.4
202410,monthly,average_daily_wage_hkd,1245.9,1696.6,2361.8,1204.8,1122.9,1354,1952.2,1910.3,1326.7,2665.5,1725.9,1343.1,1325.5,1593.5,1171,1462,1364.8,1413.8,965,1320.4,1000,1181.8,1462.1,1397,1392.6,1417.7,1522.3,1223.6,1526.6,1906.4,1474.2,1638.3,989.2
202411,monthly,average_daily_wage_hkd,1258.8,1704.4,2363.1,1250.2,1117.3,1379.9,2015.4,1922.3,1330,2597.6,1739,1354,1344.1,1600.7,1181.1,1420.2,1369,1422.9,997.4,1302.9,1000,1196.7,1478.9,1395.3,1401.5,1428.2,1541.6,1233.3,1548.4,1884.3,1530.7,1613.1,1009.8
202412,monthly,average_daily_wage_hkd,1241.2,1685.4,2366.2,1270.5,1113,1392.8,2020.7,1936.6,1328.8,2550.1,1739.2,1372.5,1352.1,1614.6,1187.9,1456.1,1361.8,1428.2,1029.1,1285.3,1632,1185.4,1518.7,1401.2,1403.6,1457.2,1554.9,1247.9,1542,1927.2,1521.6,1593.2,1004.2
202501,monthly,average_daily_wage_hkd,1222.8,1682.2,2365.4,1231.3,1102.5,1348.1,2019.4,1941.6,1335.6,2725.3,1767.2,1357,1345.2,1603.7,1187,1411.7,1378.7,1424.4,1053.5,1370.2,1105.3,1189.5,1460.2,1410.2,1403.1,1454.6,1551.6,1219.8,1513.4,2013.5,1497.4,1604,999.8
202502,monthly,average_daily_wage_hkd,1229.9,1729.6,2336,1120.6,1056.9,1350,2020.4,1969.4,1336.6,2971.2,1785.1,1375.7,1342.6,1597,1180.2,1488.9,1372,1444.3,1068.3,1304.2,1000,1167.5,1439.9,1403,1402.5,1428.7,1558.7,1239,1536.1,2026.3,1545.5,1608.5,1019.5
202503,monthly,average_daily_wage_hkd,1218.5,1749.5,2346.6,1208.2,1059.6,1374.9,2004.2,1955.4,1353,2944.2,1771.3,1397.3,1328.4,1607.1,1193.3,1506.9,1382.6,1456.8,1089,1358.4,1260,1182.5,1477.3,1405,1404.2,1446.7,1576.8,1252.6,1581.6,1989,1526.6,1597.6,1001.8
202504,monthly,average_daily_wage_hkd,1227.9,1729.4,2350.9,1218.2,1073.5,1346.9,2007.8,1996.7,1319.3,2597.5,1745,1386.7,1256.5,1626.9,1196,1481.5,1395.6,1478.8,1074.1,1370.7,1000,1181.4,1486.3,1398.9,1402.2,1441.1,1582.6,1295,1538.7,1975.3,1503.8,1613,974.7
202505,monthly,average_daily_wage_hkd,1233.2,1717.1,2359,1251.8,1057.6,1406,2005.3,2014.1,1294.7,3056.9,1735.2,1400,1319,1621.8,1202.7,1481.8,1390.5,1443.9,1069.4,1360.4,1000,1162,1487,1399.2,1401.1,1439.7,1581.8,1293,1526.7,2013.7,1433.3,1583.6,991.2
202506,monthly,average_daily_wage_hkd,1252,1683.1,2358.3,1306.9,1071.5,1430.3,2001.9,2020.7,1305.3,2629.5,1761.5,1394.1,1305.5,1610.7,1206,1559.2,1386.2,1438.3,1065.9,1392.5,1000,1176.6,1507.8,1406.8,1405.4,1476.8,1573.5,1263,1521.1,1979.2,1369,1577.9,1008.8
202507,monthly,average_daily_wage_hkd,1249.1,1721,2334,1307,1108.5,1435.7,2002.1,1985.4,1315.2,2670.5,1756.4,1404.8,1307.6,1600.8,1201.8,1544,1378.9,1453.6,1032.6,1303.5,1247.1,1186.1,1535.5,1440.4,1409.3,1463.2,1569.6,1294.4,1520,1952.3,1400,1592.2,1005.3
202508,monthly,average_daily_wage_hkd,1241.8,1701.9,2326.8,1313.6,1128.7,1438.6,1987.2,1983.1,1318.9,2647.5,1796.4,1429,1310.1,1601,1207,1535.8,1358.7,1456.8,1047.6,1256.9,1466.7,1193.8,1540.6,1443.1,1405.5,1468,1580,1292,1519.7,1910.3,1400,1598.9,1006.3
202509,monthly,average_daily_wage_hkd,1209.6,1662.3,2310.3,1243.8,1111.4,1327.9,1979.2,1930,1309.6,2688.4,1809.4,1421.8,1312.5,1599.6,1209.5,1491.9,1353,1463.7,1042.2,1265.9,1128.6,1190.2,1512.7,1429.4,1415.7,1473.8,1575.7,1254.7,1480.8,1848,1400,1626.4,1008.1
202510,monthly,average_daily_wage_hkd,1255,1687.8,2298.3,1209.3,1112.8,1577.1,1931.1,1905.9,1306.3,2971.9,1810.1,1417,1302.9,1601.8,1216.2,1516,1344.5,1466.1,1056.1,1257.6,1228.8,1184,1511.8,1431,1420.4,1455.8,1566.1,1192.1,1469.4,1914.5,1400,1597.5,998.8
202511,monthly,average_daily_wage_hkd,1222.7,1681.4,2287.9,1225.9,1131.3,1613.5,1899.8,1903.7,1321.7,2728.8,1781.5,1429.8,1295.4,1607.8,1208.3,1547.9,1339.7,1449.7,1037.3,1281.5,1268.6,1220.4,1506.8,1420,1420.8,1457.3,1542.4,1225.7,1476.4,1924,1400,1623.7,995.4
202512,monthly,average_daily_wage_hkd,1216.9,1632.2,2278.6,1228.2,1168.8,1515.8,1900.7,1925.8,1351.9,2707.5,1764.6,1415.1,1329,1612,1199.4,1411.8,1355.9,1445.5,1037.6,1445.2,1362.1,1210.6,1487.2,1386.9,1420.8,1464.6,1539.8,1225.9,1457.1,1862.6,1400,1652,974.9
202601,monthly,average_daily_wage_hkd,1228,1587,2286.8,1235.9,1122.8,1736.5,1917,1923.1,1380,2539.2,1755.1,1404.9,1329.2,1607.3,1206.1,1491.1,1354,1443.3,1040.3,1435.5,1000,1187.1,1479.9,1372.6,1419.8,1448.8,1525.1,1205.1,1462.9,1836,1400,1676.1,981.2
202602,monthly,average_daily_wage_hkd,1231.2,1541.6,2293.2,1270.5,1066.1,1711.3,1922.5,1907.4,1360.8,2712,1768.6,1394.6,1263.8,1607.4,1197.3,1483.9,1363.6,1459.4,1054.1,1107.5,1000,1179,1470,1367.9,1417.6,1466.9,1507.8,1179.7,1462.6,1787.2,1400,1685.7,979.7
202603,monthly,average_daily_wage_hkd,1240,1532.9,2303.7,1200.8,1064.5,1642.5,1939.9,1934.3,1351.5,3075.7,1752.2,1413.8,1321.5,1608.6,1214.8,1434.5,1366.1,1458.8,1046.9,1308,1187.5,1169.5,1476.7,1358.7,1420.4,1442,1519.5,1230.2,1480.9,1937.8,1400,1695.3,990.6
202604,monthly,average_daily_wage_hkd,1220.4,1572,2326.4,1190.2,1108,1693.6,1936.6,1936.9,1391.2,2921.1,1747.7,1406.1,1323.1,1607.7,1214.7,1401.9,1359.6,1473.2,1046.6,1383.8,1000,1121,1470.3,1342.9,1420,1391.6,1531,1248.5,1488.4,1967.1,1400,1716.9,997.7
202605,monthly,average_daily_wage_hkd,1229.8,1517.1,2347.8,1180.1,1106.5,1660.3,1961.1,1943.8,1376,2820.7,1749.8,1414.7,1317.6,1613.6,1218.6,1444.4,1353.2,1474.9,1059.8,1384.3,1000,1128.6,1478.8,1343.5,1421.2,1383.6,1536.5,1251.1,1480.5,1907.4,1400,1744.4,996.4
