no.,source,tender_ref,contractor_name,contract_value,currency,award_date,url
37,archsd,RFM522,China State Construction Engineering (Hong Kong) Limited,366000000.0,HKD,2024-03-18,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
38,archsd,SSM520,Able - Chun Wo Joint Venture,2020350000.0,HKD,2024-03-28,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
39,archsd,SSM508,Woon Lee Construction Company Limited,377746000.0,HKD,2024-04-03,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
40,archsd,TCN509,Geotechnics & Concrete Engineering (Hong Kong) Limited,56135000.0,HKD,2024-04-22,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
41,archsd,SSM504,Paul Y. - Able (TKO67) Joint Venture,2890967000.0,HKD,2024-04-29,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
42,archsd,RFM807,Gold Banner Construction and Development Limited,16237674.0,HKD,2024-05-28,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
43,archsd,RFM802,Gold Banner Construction and Development Limited,9998129.0,HKD,2024-05-29,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
44,archsd,TCM719,Yau Lee Construction Company Limited,526085000.0,HKD,2024-06-21,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
45,archsd,ASD/T/1/2023,China Overseas Property Services Limited,26910734.4,HKD,2024-08-05,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
46,archsd,RFN510,Woon Lee Construction Company Limited,438181700.0,HKD,2024-08-08,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
47,archsd,RFM811,Sun Hang Shing Construction & Decoration Company Limited,21194470.0,HKD,2024-08-19,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
48,archsd,SSM515,Square - Able Joint Venture,2550000000.0,HKD,2024-10-14,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
49,archsd,SSN516,Yau Lee Construction Company Limited,808284500.0,HKD,2024-10-24,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
50,archsd,SSN522,China Harbour Engineering Company Limited,609766000.0,HKD,2024-10-29,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
51,archsd,SSN520,CCSIC Green Tech - Aluhouse Joint Venture,2032905000.0,HKD,2024-10-30,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
52,archsd,RFM814,Gold Banner Construction and Development Limited,10546491.0,HKD,2024-10-31,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
53,archsd,RFN805,Gold Banner Construction and Development Limited,16996521.0,HKD,2024-11-12,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
54,archsd,SSN505,Realty - Lanon JV,726350000.0,HKD,2024-11-26,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
55,gld,AD200562023,Nuctech Hong Kong Company Limited,13615000.0,HKD,2025-01-09,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
56,archsd,TCN911,Sui Chong - Goldfield Joint Venture,733379690.0,HKD,2025-03-13,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
57,archsd,TCN922,Cheung Hing - Deson - Maylon Joint Venture,878859142.4,HKD,2025-03-13,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
58,archsd,TCN951,Sui Chong - Goldfield Joint Venture,687129970.0,HKD,2025-03-13,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
59,archsd,TCN952,CW-KS-LIDELL JV,834071063.0,HKD,2025-03-13,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
60,archsd,TCN912,Square Construction Company Limited,981415600.0,HKD,2025-03-19,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
61,archsd,TCN921,CW-KS-LIDELL JV,671278706.1,HKD,2025-03-19,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
62,archsd,SSH505,Able - Square Joint Venture,1833992000.0,HKD,2025-03-28,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
63,gld,A9900432024,Bloomsbury Books Limited,13329000.0,HKD,2025-04-07,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
64,gld,A9900432024,Sweet & Maxwell O/B Thomson Reuters Hong Kong Limited,71609000.0,HKD,2025-04-07,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
65,gld,A9900432024,RELX (Greater China) Limited - LexisNexis,111816000.0,HKD,2025-04-07,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
66,archsd,SSM501,Able - Square Joint Venture,1149880000.0,HKD,2025-04-10,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
67,gld,AC400202024,Hong Kong Telecommunications (HKT) Limited,14149100.0,HKD,2025-04-11,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
